,ï»¿id,scrape_id,neighbourhood_group_cleansed,latitude,longitude,bathrooms,bedrooms,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_id,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
5492,27790615.3,20200000000000.0,0.0,37.79745,-122.4417,0.0,2.0,2.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,0.0,5.0,4.83,5.0,4.83,5.0,5.0,4.83,0.52,173606548.0,1.0,1.0,4.0,3.0,7.0,0,0,0,169,6.0,6.0,0.0,1.0,1.0,0.0,0.0
5493,27790615.3,20200000000000.0,0.0,37.79135,-122.43048,0.0,1.0,1.0,4.0,4.0,1125.0,1125.0,4.0,1125.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.17,32907639.0,2.0,2.0,2.0,4.0,90.0,8,15,22,91,3.0,3.0,0.0,2.0,2.0,0.0,0.0
5494,27790615.3,20200000000000.0,0.0,37.73725,-122.4,0.0,3.0,3.0,30.0,30.0,90.0,90.0,30.0,90.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12,16505788.0,1.0,1.0,5.0,30.0,90.0,21,51,81,236,1.0,1.0,0.0,1.0,1.0,0.0,0.0
5495,27790615.3,20200000000000.0,0.0,37.73156,-122.38796,0.0,1.0,1.0,3.0,3.0,28.0,28.0,3.0,28.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.15,271698124.0,2.0,3.0,2.0,3.0,28.0,30,59,89,363,1.0,1.0,0.0,2.0,2.0,0.0,0.0
5496,27790615.3,20200000000000.0,0.0,37.742973,-122.452248,0.0,3.0,3.0,3.0,3.0,30.0,30.0,3.0,30.0,0.0,4.67,4.5,4.5,5.0,5.0,5.0,4.8,0.63,4656446.0,5.3,7.7,6.0,3.0,30.0,27,55,85,85,6.0,6.0,0.0,3.0,3.0,0.0,0.0
5497,27790615.3,20200000000000.0,0.0,37.7845,-122.42899,0.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,7.0,0.0,5.0,4.92,5.0,4.85,5.0,5.0,5.0,1.7,36422768.0,2.0,5.0,1.0,1.0,7.0,0,2,2,2,13.0,13.0,2.0,2.0,0.0,2.0,0.0
5498,27790615.3,20200000000000.0,0.0,37.80046,-122.42021,0.0,3.0,1.5,3.0,3.0,1125.0,1125.0,3.0,1125.0,0.0,5.0,5.0,5.0,4.92,5.0,5.0,4.88,2.79,2367767.0,1.0,2.0,7.0,3.0,1125.0,1,1,6,60,26.0,3.6,1.0,1.0,1.0,0.0,0.0
5499,27790615.3,20200000000000.0,0.0,37.77297,-122.39015,0.0,1.0,1.0,30.0,30.0,90.0,90.0,30.0,90.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,24850666.0,3.0,3.0,1.0,30.0,90.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5500,27790615.3,20200000000000.0,0.0,37.76579666,-122.4522247,0.0,1.0,1.0,32.0,32.0,1125.0,1125.0,32.0,1125.0,0.0,4.5,4.9,4.5,5.0,5.0,5.0,5.0,0.29,21994.0,13.0,14.0,1.0,32.0,110.0,30,60,90,364,2.0,2.0,0.0,13.0,0.0,0.7,0.0
5501,27790615.3,20200000000000.0,0.0,37.75508,-122.4738,0.0,1.0,1.0,2.0,2.0,28.0,28.0,2.0,28.0,0.0,4.95,5.0,4.95,5.0,4.91,5.0,5.0,0.8,30774210.0,1.0,2.0,2.0,2.0,28.0,5,30,59,59,22.0,22.0,0.0,1.0,1.0,0.0,0.0
5502,27790615.3,20200000000000.0,0.0,37.79936,-122.44266,0.0,1.0,3.0,3.0,15.0,1125.0,1125.0,13.7,1125.0,0.0,4.88,4.88,4.88,5.0,5.0,4.75,4.63,1.19,32220701.0,32.0,52.0,6.0,2.0,90.0,23,53,83,85,8.0,8.0,1.0,1.0,1.0,0.0,0.0
5503,27790615.3,20200000000000.0,0.0,37.80067,-122.4221,0.0,1.0,1.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,148427269.0,11.0,13.0,2.0,30.0,365.0,11,41,70,70,0.0,0.0,0.0,10.0,1.1,0.0,0.0
5504,52620201.0,20200000000000.0,0.0,37.78453,-122.48419,0.0,2.0,2.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,4.86,4.93,4.86,5.0,4.93,5.0,4.71,0.9,26590702.0,5.0,5.0,5.0,30.0,1125.0,17,40,70,344,14.0,6.0,0.0,1.0,1.0,0.0,0.0
5505,52633005.0,20200000000000.0,0.0,37.78872,-122.44817,0.0,1.0,1.8,30.0,30.0,200.0,200.0,30.0,200.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.32,371841329.0,15.0,43.0,2.0,30.0,200.0,3,33,62,62,5.0,4.0,1.0,14.0,1.1,0.0,0.0
5506,52636881.0,20200000000000.0,0.0,37.79046,-122.4102,0.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,4.9,5.0,4.67,5.0,5.0,5.0,4.8,0.27,40329525.0,1.0,1.0,1.0,30.0,400.0,0,0,0,270,3.0,3.0,0.0,1.0,1.0,0.0,0.0
5507,52641635.0,20200000000000.0,0.0,37.7503,-122.4071,0.0,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,4.9,4.9,4.46,4.9,4.9,4.77,4.54,0.98,29483318.0,3.0,3.0,2.0,1.0,180.0,6,15,29,263,13.0,12.0,0.0,3.0,0.0,3.0,0.0
5508,52641867.0,20200000000000.0,0.0,37.7901,-122.41128,0.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,263502162.0,5.3,7.7,2.0,30.0,1125.0,3,33,63,337,0.0,0.0,0.0,7.0,1.1,0.0,0.0
5509,52646737.0,20200000000000.0,0.0,37.73751,-122.42784,0.0,2.0,3.0,30.0,30.0,364.0,364.0,30.0,364.0,0.0,5.0,5.0,4.9,5.0,5.0,4.9,5.0,0.19,54424258.0,1.0,1.0,4.0,30.0,364.0,0,0,0,210,2.0,2.0,0.0,1.0,1.0,0.0,0.0
5510,52649335.0,20200000000000.0,0.0,37.74306,-122.47582,0.0,1.0,2.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,131200418.0,5.3,7.7,4.0,30.0,90.0,30,60,90,365,0.0,0.0,0.0,3.5,3.0,0.7,0.0
5511,52662734.0,20200000000000.0,0.0,37.78753,-122.421312,0.0,1.0,1.0,31.0,15.3,1125.0,1125.0,15.1,1125.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,107434423.0,5.3,7.7,2.0,31.0,1125.0,0,0,0,222,0.0,0.0,0.0,3.5,1.1,0.0,0.0
5512,52662781.0,20200000000000.0,0.0,37.78753,-122.421312,0.0,1.0,1.0,31.0,15.3,1125.0,1125.0,15.1,1125.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,107434423.0,5.3,7.7,2.0,31.0,1125.0,2,32,62,337,0.0,0.0,0.0,3.5,1.1,0.0,0.0
5513,52662804.0,20200000000000.0,0.0,37.78753,-122.421312,0.0,2.0,2.0,31.0,15.3,1125.0,1125.0,15.1,1125.0,0.0,4.5,4.5,4.5,4.9,4.9,4.5,4.8,0.13,107434423.0,5.3,7.7,4.0,31.0,1125.0,0,26,56,331,2.0,0.0,0.0,3.5,1.1,0.0,0.0
5514,52667150.0,20200000000000.0,0.0,37.77572,-122.40955,0.0,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,4.99,4.99,4.99,4.96,4.99,4.56,4.83,0.8,421302835.0,3.0,3.0,2.0,1.0,21.0,12,31,61,240,96.0,3.6,1.0,3.0,0.0,3.0,0.0
5515,52667277.0,20200000000000.0,0.0,37.77587,-122.4088,0.0,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,4.95,4.99,5.0,4.99,5.0,4.65,4.86,0.8,421302835.0,3.0,3.0,2.0,1.0,21.0,22,45,75,254,81.0,3.6,0.2,3.0,0.0,3.0,0.0
5516,52676932.0,20200000000000.0,0.0,37.76091,-122.48721,0.0,2.0,3.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0.25,46613919.0,5.0,6.0,6.0,30.0,1125.0,4,4,30,273,4.0,3.0,0.0,4.0,4.0,0.0,0.0
